comment_id,author,text,like_count,reply_count,published_at,relevance_score
Ugz-5MVhIJ8Oa5jPmPB4AaABAg,@jgaj1032,"Me trago todos los vídeos uno detrás de otro, enhorabuena la verdad por la forma de crear contenido, y gracias por preocuparos de traer nuevo contenido para que disfrutemos, a final de año tengo pensado comprar un PC si o si con vosotros, muchas gracias de nuevo y un placer haberos conocido familia",2,0,2026-05-17 21:13:54+00:00,2
UgzG40b6XwuKlSsPxm14AaABAg,@arturosalazaralvarez3506,"Decir que me parece que hacéis un contenido cojonudo. Muy divertido y sobre todo realista, que no abunda mucho. Como ideas, lo que mas me llama la atención es comparar premontados, así como la de montar un ordenador con piezas chinas a ver si nos estamos perdiendo de algo que realmente merece la pena. Reviews de setups reales también es muy buena, ya que cada uno se lo monta a su gusto y se pueden coger ideas de unos y otros para que en cada casa nos dejemos el setup fino. Como idea random que estaría muy divertido, a raíz del pc mas pequeño y potente posible, ver si con la energía calorífica se puede llegar a cocinar algo, aunque sea un huevo a la plancha, pero redirigir ese calor fuera del pc y aprovecharlo para cocinar, creo que sería un video muy interesante y aún mas divertido. Mucho ánimo con los nuevos proyectos y seguid en esta línea porque vais a seguir llegando a mucha mas gente :D",2,0,2026-05-18 14:11:22+00:00,2
UgxbiGpssFBbTSFPkkB4AaABAg,@nikte1534,Sinceramente lo que me gusta es verlo a ustedes el humor la forma de decir las cosas es muy agradable y ameno de ver asique sea lo que decidan yo me lo fumo y me lo veo me gusta todo lo que aparecio dime friki pero todo,1,0,2026-05-17 20:33:47+00:00,1
UgwRVC6FnXeCFt-PtUt4AaABAg,@deadkhingt3106,"A mí me molaría set UPS o también subir típs pero no los comunes, sino tonterías básicas como, si tienes amd Activa esto, pero meterlos durante el video. Bobadas, suerte jaja",1,0,2026-05-17 23:41:11+00:00,1
Ugycex9tuFpFOUcT9L94AaABAg,@JJ.ROMERO,"Son tremendamente buenos, tienen carisma y harto conocimiento, larga vida al canal.<br><br>-Suscribo la propuesta de poder hacer un video armando una PC silenciosa o recomendación de componentes silenciosos. En resúmen Idea 4.",1,0,2026-05-18 05:50:24+00:00,1
UgyNd0Y_-e6yhp7ccu94AaABAg,@eiacos,"Les tiro una idea: que componentes de PC usarías para armarte de tal manera que te dure al menos 10 años y te sea útil para productividad y gaming? Solo 3 presupuestos: bajo, intermedio, alto. Otra, un vivo de Raúl jugando competitivo. Saludos",1,0,2026-05-17 20:23:44+00:00,1
Ugwm4NWUAXU2wBbTDeF4AaABAg,@davidalejandrolopezperez9607,"Señores de &quot;Epical q&quot; muchisimas gracias por poner a este señor &quot;Raul&quot; a hacer videos, yo venia pensando par de años ya mejorar mi equipo, y me transmitio la confianza para hacer ese sueño posible y con vosotros, gracias raulillo me has costado 4000 pavos jajajajaja enhorabuena equipo de Epical-q un saludo",1,0,2026-05-17 19:36:25+00:00,1
UgwBD2U4gPy2DsBn_3R4AaABAg,@Black0n,"raul no tiene nd q ver con el video pero queria preguntarte q tal ves este pc q me voy a comprar próximamente ( dentro de un año) los precios y td la historia seguro cambia mucho pero esto es lo q tenia pensado.<br><br>•RYZEN 7 9800X3D<br><br>•5080<br><br>•32Gb ram<br><br>•2TB de almacenamiento <br><br>•Corsair iCUE LINK TITAN 360 RX RGB Kit Refrigeración Líquida 360mm<br><br>•caja CORSAIR FRAME<br><br>•Fuente de Alimentación Corsair RM1000x Shift 1000W Gold Modular ATX 3.1 ventilador ajustable<br><br>•Placa Base Gigabyte X870E AORUS ELITE WIFI7<br><br>• y dos monitores un asus Rog 4k 240hz(es puro cuento se q puedo optar por unos mas barato pero es locura mia) y el otro seria otro asus rog pero de 1080p y 380hz para juegos competitivos, saldria td en 4.400€. sin monitores 3.300/3.400€.",1,0,2026-05-19 21:58:20+00:00,1
UgyinDpNSezP_jxRG4F4AaABAg,@rider-8756,"Es igual que hagáis videos de los mismos temas que ya sean trillado porque vemos el canal porque nos gusta cómo comunica y entretiene Raúl. No obstante aquí van algunas ideas:<br>- Enseñar los PCs de Raúl y el resto de empleados de Epical-q.<br>- Vídeos más técnicos sobre componentes. Cómo funcionan, diferencias entre generaciones, curiosidades, etc <br>- Qué configuraciones son mejores según el tipo de juego, ya que hay juegos que son más CPU dependientes, o necesitan más RAM, etc.<br>- Hacer algún PC con liquida custom.<br>- Mostrar páginas de PCs de otros países como USA o Japón con PCs espectaculares, bizarros, tematizados, etc.<br>- Ir a convenciones y/o ferias del mundillo y enseñarnoslo.<br>- Que Raúl haga alguna entrega en persona de algún PC vendido en la web.<br><br>Y también podéis preguntar a ChatGPT que no falla xD.",1,0,2026-05-17 21:25:09+00:00,1
UgwdsOQwW2pE0q_jERl4AaABAg,@Megatronus-kk8tr,"Sea lo que sea que ustedes hagan, yo lo voy a ver porque son muy graciosos y aparte aportan mucha información de alto valor. Gracias por su arduo trabajo 🎉",1,0,2026-05-18 04:05:10+00:00,1
Ugz6YuzzVXYGbyPxUgd4AaABAg,@MTX250,"Montar un un LLM con RAG para responder a esas cosas(de componentes y construicciones especificas) e ir preparando un avatar para el canal, ademas podeis subir como lo habeis realizado (2x1) (Por cierto, me ofrezco voluntario!)(A lo mejor no os convecence porque al final es otro grifo abierto, pero GCloud esta dando 860€ para probar Vertex AI)",1,0,2026-05-18 08:08:22+00:00,1
Ugxk7o5swvOz_G7px9V4AaABAg,@marea72635,"IDEA 1, 7, 8...Lo que hagáis lo veré igual porque me gusta como lo hacéis. Un saludo",1,0,2026-05-18 09:59:31+00:00,1
UgwvqoBKkscUQVPupzh4AaABAg,@cesarsalazar5368,Yo siendo sincero miro sus videos por el echo de que me gusta aprender y me gusta la forma en lo que lo explicas,1,0,2026-05-18 00:44:40+00:00,1
UgyOwDu6niVf9Eml3ch4AaABAg,@didigolf_YT,Enhorabuena por los 100k suscriptores!!! Placa de plata!! 🎉,1,0,2026-05-17 21:44:45+00:00,1
UgyQIUXSwXZioW9Meap4AaABAg,@VERTICERACING,Hola!<br>1Guia de la bios<br>2Comparar PCs de didferentes celebridades<br>3Videos graciosos tipo que persona representa a cada cmponente,1,0,2026-05-17 19:37:39+00:00,1
UgzJQDLjE1Br-1fYdRV4AaABAg,@pedrocastillo-e1v,me pearece genial la idea,1,0,2026-05-17 23:41:46+00:00,1
Ugyb1wRa85sAExKUKop4AaABAg,@Subacuadratico,"Podrías hacer un video de: mejorando ordenadores de seguidores, que os lleven un ordenador y le pongáis alguna cosa, le hagas un mantenimiento se ordenen los cables y cosas parecidas.",1,0,2026-05-18 06:08:12+00:00,1
UgxQclK3wLtfDNhsSrJ4AaABAg,@DeividPollock,"A mí me gustaría ver vídeos sobre productos de marcas chinas que realmente tengan buena calidad. Los precios actualmente están disparados y quizá el mercado chino pueda ofrecer alternativas mucho más competitivas, sobre todo teniendo en cuenta que la calidad de sus componentes ha mejorado muchísimo estos últimos años; ya no son los “trastos” baratos de hace décadas.<br><br>También me interesaría mucho ver montajes de PC desde cero, pero bien hechos y detallados: gestión de cables, airflow, colocación limpia de componentes, estética final… dejar el setup totalmente niquelado vaya 😄",1,0,2026-05-18 09:52:11+00:00,1
Ugw_eu7KouJN3Y2j4Jl4AaABAg,@neowolverin1,"Todas las ideas me parecen muy buenas pero si tuviera que eligir 3 me iría por las 3, 8 y 10. Y sobre otra idea que tal montar ordenadores temáticos, ya sea un ordenador puro Asus, o para los frikis el de hatsune miku completo, también para trabajos específicos como para un amante del cine en que le vendría más invertir, y también quería decirlos qué me encantan sus videos de tierlist y aunque entiendo que no pueden ser seguidos espero que no los dejen de lado",1,0,2026-05-18 06:05:08+00:00,1
UgyuBUIW2VicK9UGDWV4AaABAg,@8HcT,"Yo quiero seguir con mis clases de murciano.<br><br>Ideas: Haced videos enfocados a usos profesionales, por gamas, por ejemplo yo ahora voy a hacerme un PC para arquitectura, (y sí, alomejor juego a algo, pero no es el foco). Todos los canales se enfocan en el gaming, pero muy pocos en productividad.",1,0,2026-05-18 11:19:57+00:00,1
Ugx8HFSbcTC3gf1s26d4AaABAg,@FrankieMankie,"Muchas veces no es el contenido, es como se presenta. Estoy convencido que más de una persona ve vuestros videos por el carisma, cercanía y naturaleza que transmitís.",1,0,2026-05-17 21:30:56+00:00,1
Ugzf48XjELZpEPrp5fR4AaABAg,@eneas9038,"Sois unos grandes.<br><br>Ideas vuestras rankeadas:<br>1. Starlink en el campo<br>2. Pc de Wallapop <br>3. Setups reales pros y estaciones de trabajo.<br><br>Ideas mias: <br>1 - Raúl queremos verte jugar al Tarkov y otros juegos, yo también juego Tarkov y también soy malo, pero no te preocupes que queremos verte pa reirnos con vosotros, abrete un twitch y luego aqui en el canal podéis subir compilacion de mejores momentos de 10-15 min. <br>2- Otro contenido que a mi me gustaría ver aquí es noticias del sector de la informatica y los videojuegos, pero no todas las noticias, sino coger una vez al mes y decir qué 5 noticias o las que sean, son importantes a vuestro juicio y comentarlas. Yo lo haría con un lenguaje que entendamos todos, y que yo creo que en este tipo de videos el valor esté en vuestros comentarios, que sean interesantes y con cachondeo y tal.",1,0,2026-05-17 22:55:56+00:00,1
UgxPZ1WobhMNQSeQWmh4AaABAg,@XenixfronzStremer-qi3jp,Algunos datos curiosos de PC ?,1,0,2026-05-17 20:14:48+00:00,1
UgwP8cvi9uwbXjtK9sB4AaABAg,@masteg3988,"Veo todos vuestros videos solo por la manera de ser, me la pela lo que hagáis jejej. Yo al ser Ingeniero Informático me mola lo técnico, pero entiendo que no a todos les mola las puertas lógicas jeje",1,0,2026-05-18 08:25:34+00:00,1
UgwiZmvGrK4TS_uktJh4AaABAg,@PainRiderX,"Paisanos la idea del wallapop me gusta, sobre todo si enseñáis las conversaciones para comprar que hay una fauna importante jajaja <br><br>Enhorabuena por los 100k , seguir así y Raúl eres el mejor 😂😂",1,0,2026-05-17 22:32:13+00:00,1
UgzhwxLCCoKKejKyvZt4AaABAg,@RogerTorrens-PlayHard,Esa idea de la visita y la pizza y saber sobre el día a día está perfecta y claro todo lo relacionado a la PC gaming,1,0,2026-05-18 03:00:30+00:00,1
Ugw4NquouW6N7ylt6BN4AaABAg,@pawelstegierski5736,"Hacer visitas a los setup que pueda tener la gente en sus coches caravanas autocaravanas cabañas sus casas y sus estudios sus estudios de creación de contenidos los que editan vídeo televisiones pequeñas y demás para enseñar las diferentes formas que hay para usar un ordenador o para montar sistemas es una cosa bien interesante. Enseñar a la gente a montar sus propios servidores de videojuegos para echar pachanguilla o echar liguillas y formar nuevos grupos nuevos equipos y tal aunque seamos malos pues está muy bien además pues que la gente participe un poquito en montar cosas para tenerlo en un grupo de amigos no siempre tirando a los servicios oficiales. Sería como jugar en videojuegos en plan guerrilla también se pueden tirar por videojuegos libres que los servidores son más fáciles de montar y demás pues prestar unas características presentar unas características sobre el tema eso estaría muy bien. <br>Los directos son los que aprovecharía yo para nuevos artículos nuevas creaciones nuevas noticias sobre todo de lo que vaya haciendo apareciendo en el mercado qué hay va un poco por rachas y por temporadas ya llevamos tiempo con la serie 5000 de nvidia, pero hay más periféricos y más usos de ordenador y más historias que se pueden aprovechar para meter la publicidad allí. <br>Luego gracias a las crisis de componentes memoria discos duros y demás se debe a que China tiene limitado acceso a las máquinas nuevas de ASML por lo tanto se vuelven a modelos anteriores de fabricación que son los que pueden explotar con lo que van un paso por detrás en el mercado de componentes y fomentar que se monten equipos más modestos con componentes de hace generaciones equipos más asequibles más modestos porque tiraríamos de generaciones anteriores de hardware pero sí muy eficientes para usarlos en lo que más nos gusta es otra temática interesante.<br>Con la moda De meter 800 ventiladores en una torre se me ocurre que se aprendan a hacer equipos con disipación pasiva para que no hagan ruido entretenerse en ese aspecto en uno o dos vídeos pues nos enseñaría cómo producir como fabricar equipos así, hay muchos temas de los que se puede hablar y son muy interesantes y se salen de los tópicos de las super gráficas y los mega videojuegos.<br>Se me ocurren más cosas como por ejemplo si la marca está muy saturada de trabajo recomendar otros profesionales más especializados en una temática u otra darlos a conocer en plan de colaboración hace tiempo eso funcionaba muy bien en Internet.",1,0,2026-05-17 22:30:23+00:00,1
UgzMGouIIfgXMTJaBjF4AaABAg,@Mystic00016,"Lo que os diferencia es que Nate se lo toma en serio mientras que vosotros no, yo sugiero que lo mejor que podéis hacer es probar un poco de todo y seguir con lo que más mole (a mí personalmente los pcs de wallapop). Veo a Nate desde hace años pero este canal tiene algo que hace que esté aquí escribiendo, al final los pcs son un interés que unen a muchas personas",1,0,2026-05-17 20:55:26+00:00,1
UgyuuMT-gEfDkmCaPcJ4AaABAg,@edudalmau3533,"Yo creo que mas videos del rollo PC profesional/workstation serian muy interesantes, ahi teneis experiencia que el resto de youtubers &quot;grandes&quot; de tecnologia no",1,0,2026-05-17 19:24:03+00:00,1
UgyAOGNhziEg4XPW6ZN4AaABAg,@ramiroyuyes4168,"kit de mantenimiento de pcs o de armado o ambos y hacer niveles de basico, medio, pro, entusiasta o algo parecido seria interesante el video y dar ejemplos de como usar por ejemplo destornillador solo , luego uno con iman , luego uno imantado con desimantador , luego uno profesional mmm",1,0,2026-05-17 19:30:51+00:00,1
UgwWDIiufqbjLPlzQxd4AaABAg,@takoshdd5548,Muy buenos los videos que publicais ya que es algo que se salen un poco de lo comun. Montar un equipo para estudio de musica estaria muy chulo y no esta muy claro que hace falta para montar un equipo para ese tipo de trabajo,1,0,2026-05-18 08:55:21+00:00,1
UgzSZ3CngJDKddghZf54AaABAg,@V0l7I0,"Buenas!! Raúl la idea de la camper, COMPRO!! Lo estabais explicando y me sentía identificado. Las entrevistas con Pizza, esa también me mola y montaje de pcs mini y piezas rollo minisfurum, ( por ejemplo ) ese es mi top 3. Y como idea, yo viajo mucho en camión y cuando llego a casa no me gusta meterme en una habitación a jugar, juego en el salón, setups para el salón de casa guapo y funcional. Bueno hasta ahí mi aporte Chicos, abrazos para todos, hasta más ver.",1,0,2026-05-17 21:59:25+00:00,1
UgyDBsWWSFjLSVcdy954AaABAg,@willyfoogs1,"A mí me encantan tus videos sean cual sean...tenéis aura para ello☺️.<br><br>A mí me gustaría algún vídeo para poder comprar un pc barato para poder salir de la crisis ya que creo que hay más gente sin cash que gente con cash y esa gente sin cash también tienen derecho a poder tener un pc decente y no ser víctimas de los grandes especuladores de hoy en día.<br><br>La idea de marcas chinorras me gusta porque creo que es una buena salida.<br><br>Un saludo, seguir así de cercanos☺️",1,0,2026-05-18 06:35:11+00:00,1
Ugw8rZSx5VtCS4QFi1t4AaABAg,@kiosh,Soy de Murcia y tengo buen setup. Si me arregláis los cables podéis hacer vídeo con el 😊,1,0,2026-05-17 19:09:53+00:00,1
Ugzmhgp4lNSO-qBT0w54AaABAg,@gru2844,"Yo creo que como lo haceis esta de loco ,por que tiene la parte graciosa tuya , despues el jefe la parte seriota y tecnica, y a la gente le gusta ver cosas mu gordas como funcionan , o ver ordenadores baraticos que se pueda jugar a tipo de todo, , yo seguiria como estais pero como ya hicistes alguna vez como con la caja de 3 camaras decir mira esta pc para jugar a tanto de loco,s que quieres uno mas pro para tal este y teneis desde el mas baritco al mas top, tambien podrias hacer review de cosas chulas cajas raras, o componentes exclusivos , cosas asi",1,0,2026-05-17 19:02:37+00:00,1
UgzD8NW9oQRAL9THkNh4AaABAg,@pc800mhz,Todas las ideas que presentais son buenas!!! Adelante con todas!!!,1,0,2026-05-17 21:23:06+00:00,1
Ugy4Dc7HdQlpJ29HLWB4AaABAg,@vicentemn0152,"En mi caso me gusta el canal porque aprendo cosas sobre mi ordenador, como aprovechar mejor los componentes o que combinación es mejor para cada cosa pero sobretodo es el realismo o la franquedad que se usa al explicarlo, es un cambio agradable del lenguaje técnico que lees en foros y me entero de las cosas.",1,0,2026-05-17 19:53:28+00:00,1
Ugxi5aCDiWNIDw6wfYl4AaABAg,@adrilm2mil,"a mi me molaría ver algún video tipo configuración de pc, y no solo de componentes, sino de que hacer cuando ya tienes el pc, instalas Windows 11 y que mas? como configurarlo, como optimizarlo, como comprobar que va bien, como testear todo, etc etc",1,0,2026-05-17 22:01:04+00:00,1
Ugyo5cPa4Jz_FxSjmuF4AaABAg,@DimasRomero322,"Raúl y compañeros de Epical-Q, yo sinceramente creo que que tenéis mercado en los videos de Youtube de éste sector con vuestra carisma y estilo de comunicación directa si hacéis un poco los &quot;remasters&quot; de vídeos que hicieron grandes canales del sector en el pasado. Con esto me refiero a vídeos del estilo:<br><br>- A la hora de montar un PC, enseñar y explicar con un poco más de detalle como se instalan ciertos componentes que muchos vídeos de montaje omiten tales como: las conexiones de los ventiladores a la placa base y al HUB que traiga la caja o de terceros, las conexiones de la caja a la placa base, el por qué los sticks de RAM se instalan en un orden específico en las bahías para que funcione el Dual-Channel y similares.<br>- Un vídeo explicando las herramientas óptimas para montaje del PC como destornilladores eléctricos mas o menos grandes, los destornilladores largos para instalar los ventiladores tradicionales de CPU, los tipos de correas y demás utensilios para el arreglo del cableado posterior.<br>- Un vídeo explicando correctamente todas las conexiones posteriores de las placas base de distintas gamas para que la gente sepa donde y por qué conectar las cosas a las distintas conexiones para que todo funcione de la mejor manera posible.<br>- Poner a prueba a en un PC potente una gran cantidad de periféricos inalámbricos, alguno por cable y otras cosas como discos duros externos para demostrar la compatibilidad de los dispositivos, los errores que puede dar en el sistema ya sea por saturación o interferencias, etc. Esto sirve para que la gente entienda que por ejemplo puede tener 2 ratones inalámbricos, uno de ofimática tipo Logitech MX Master y otro gaming rollo Razer Viper y demostrar que ambos pueden funcionar sin problema y puedes cambiar de uno a otro o no si no funciona y por qué. <br>_ Un vídeo explicando a la gente como configurar pantallas ya sea conectando distintas pantallas con distintas conexiones al mismo PC y como funcionan las mismas para que la gente sepa las diferencias entre los HDMI, DisplayPort, VGA y sus distintas versiones. También usar accesorios que permitan dividir la misma señal a otras pantallas externas, duplicar pantalla mediante wifi con monitores inteligentes, etc. Así la gente puede aprender como mandar la señal de su portátil o PC sobremesa a la tele del salón o de la habitación por ejemplo.<br>- Un vídeo sobre periféricos y accesorios menos conocidos en general. Cosas como un botón con cable que vaya conectado al PC y que lo puedas configurar para encender el PC que puede ser útil para gente que tiene el PC abajo y no quiere agacharse para darle al botón de encendido. Así la gente descubre ese tipo de productos gracias a vosotros. <br><br>Un saludo y seguid así que vais bien!!!",1,0,2026-05-18 00:12:14+00:00,1
Ugz1FaWjW1Jun8Ft5s54AaABAg,@ramiroyuyes4168,as una encuesta en q tipo de entusiastas de pc te ven si sale q la mayoría son de pc económicos as varios videos von configuraciónes económicas trata de buscar tu publico y dales cosas de su interés y ya de ves en cuando subes videos de lo q no tienes tanto publico para igual no quedarnos sin el contenido de siempre q me encanta,1,0,2026-05-17 19:38:29+00:00,1
UgyUEyCbKB-DIGXNWl94AaABAg,@SHARAMUTHA,Hagan todo en ese orden,1,0,2026-05-17 23:27:18+00:00,1
